列標籤,2025/12/1,2025/12/2,2025/12/3,2025/12/4,2025/12/5,2025/12/6,2025/12/7,2025/12/8,2025/12/9,2025/12/10,2025/12/11,2025/12/12,2025/12/13,2025/12/14,2025/12/15,2025/12/16,2025/12/17,2025/12/18,2025/12/19,2025/12/20,2025/12/21,2025/12/22,2025/12/23,2025/12/24,2025/12/25,2025/12/26,2025/12/27,2025/12/28,2025/12/29,2025/12/30,2025/12/31,2026/1/1,2026/1/2,2026/1/3,2026/1/4,2026/1/5,(空白),總計,用量占比(100%)
0051BD03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.57188E-05
0051BD06,3,7,3,7,7,3,9,0,10,5,2,8,0,1,0,3,7,2,3,2,0,9,14,4,2,0,3,4,3,5,0,4,9,4,0,1,0,144,0.01234351
005ABI06,0,0,0,7,29,0,0,0,0,0,0,36,0,0,0,1,1,25,7,4,0,10,2,3,0,35,2,1,3,3,5,0,3,5,0,3,0,185,0.015857981
005ABI07,3,6,0,10,37,0,0,3,4,4,17,16,4,0,2,2,2,14,2,4,0,4,2,4,0,16,4,0,2,2,14,0,7,4,0,2,0,191,0.016372294
005ABI09,2,8,0,44,36,0,0,9,7,9,9,66,17,0,18,14,11,29,47,46,0,30,14,38,1,113,25,0,15,17,33,7,17,23,1,17,0,723,0.061974704
005ACA01,3,6,0,3,9,0,0,3,5,5,5,3,6,0,3,3,3,3,3,6,0,3,3,6,0,18,0,0,0,0,0,0,0,0,0,0,0,99,0.008486163
005ACA03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,0.002400127
005ACE05,8,16,9,16,24,0,0,10,4,4,4,7,12,0,24,2,2,2,2,8,0,6,8,68,10,4,13,0,6,6,24,2,8,4,0,2,0,315,0.027001427
005ACE06,0,0,0,2,3,3,0,1,1,0,2,1,2,0,5,4,3,0,0,0,0,4,6,6,0,4,8,0,3,1,5,0,0,4,2,3,0,73,0.006257474
005ACE08,0,9,37,22,83,20,0,9,8,31,36,73,20,0,14,6,44,32,79,62,0,5,11,46,12,26,25,0,1,7,35,5,7,23,9,0,0,797,0.068317897
005ACL02,1,2,3,2,3,2,1,3,1,3,2,2,1,0,3,2,2,0,1,0,1,0,2,6,1,5,1,1,2,1,1,0,2,1,0,1,0,59,0.00505741
005ACT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.57188E-05
005ACT13,964,1262,426,925,1912,503,243,787,866,1020,1073,1035,1506,316,781,1175,830,836,839,1137,243,755,864,1472,480,915,1333,146,926,778,1388,419,874,1160,278,683,0,31150,2.670141136
005ACU02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,2,2,0,2,0,0,0,0,0,1,0,0,0,0,13,0.001114345
005ACY02,6,7,0,14,36,28,38,37,49,59,23,35,33,0,9,17,5,13,15,4,0,1,21,26,0,14,30,0,11,7,30,4,1,2,0,1,0,576,0.049374038
005ACZ01,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,1,0,14,0.001200063
005ADD01,4,14,4,2,20,0,0,7,2,5,5,8,10,1,2,4,6,5,5,10,0,4,7,10,0,9,12,0,3,5,9,0,9,8,1,2,0,193,0.016543732
005ADE08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005ADI07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000171438
005AGR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005AJO01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.000257156
005AKU01,9,6,0,5,24,0,0,35,2,45,6,3,6,0,3,3,3,3,3,6,0,3,3,6,0,3,6,0,3,3,18,0,7,8,6,7,0,235,0.020143922
005AKY01,11,11,13,6,13,6,0,18,9,10,14,9,6,0,14,11,14,7,18,6,4,11,12,12,0,23,3,2,18,10,15,1,19,4,0,13,0,343,0.029401554
005ALB01,115,172,37,113,248,59,14,123,86,131,123,123,176,26,150,123,113,118,150,214,29,130,116,184,66,136,221,27,104,116,195,26,123,169,20,118,0,4194,0.359504717
005ALC02,11,38,16,39,46,0,0,10,20,14,30,17,26,4,25,42,30,6,12,22,8,29,22,47,22,15,40,13,46,11,31,26,15,37,4,23,0,797,0.068317897
005ALF01,1,28,0,0,0,0,1,1,0,1,1,1,2,0,2,1,3,3,6,4,0,3,3,10,0,8,6,0,4,26,10,24,2,6,1,5,0,163,0.013972167
005ALL09,121,39,42,63,109,51,5,58,30,78,57,90,81,58,80,66,72,109,84,30,40,48,88,47,12,105,69,22,44,33,70,30,17,90,43,73,0,2154,0.184638331
005ALO02,22,9,9,13,14,8,1,11,12,8,17,13,8,1,6,6,4,8,11,11,2,8,16,14,0,18,14,7,11,4,16,0,9,6,5,6,0,328,0.028115772
005ALU05,11,16,60,6,18,0,21,14,11,29,13,50,10,0,3,4,3,21,7,30,0,6,16,14,0,1,46,0,20,2,9,0,57,14,27,13,0,552,0.047316787
005ALV03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0.000771469
